[2019-07-20 22:01:57.596] [genuine_logger] [info] Kepler Beacon started
[2019-07-20 22:02:57.646] [genuine_logger] [info] Creating id.dat. Attempting to create it in: C:\Users\aliPMPAINT\AppData\Local\Autodesk\Genuine Autodesk Service\id.dat
[2019-07-20 22:02:57.678] [genuine_logger] [info] Reading configuration from: C:\Users\aliPMPAINT\AppData\Local\Autodesk\Genuine Autodesk Service\GenuineAutodeskService.conf
[2019-07-20 22:02:57.679] [genuine_logger] [info] Config file contents:
[2019-07-20 22:02:57.679] [genuine_logger] [info] landing_page_url https://www.autodesk.com/genuine/resolve-non-genuine-autocad?mktvar002=726303&utm_medium=product&utm_source=ipm&utm_campaign=glob-mul-genuine-autocad&utm_id=726303
collector_svc_url https://api.genuine.autodesk.com/collection/clientproducts
notif_svc_url https://api.genuine.autodesk.com/notification/notificationserver
events_svc_url https://api.genuine.autodesk.com/collection/clientevents
config_svc_url https://api.genuine.autodesk.com/configurations/configuration 
*******************
[2019-07-20 22:03:00.869] [genuine_logger] [info] Registering parameters for 128H1:781H1 : 3DSMAX.EXE,Autodesk 3ds Max 2016
[2019-07-20 22:03:00.869] [genuine_logger] [info] Registering parameters for 128H1:793H1 : 3DSMAX.EXE,Autodesk 3ds Max 2016
[2019-07-20 22:03:00.869] [genuine_logger] [info] Registering parameters for 128H1:781H1 : 3DSMAX.EXE,Autodesk 3ds Max 2016
[2019-07-20 22:03:00.869] [genuine_logger] [info] Registering parameters for 128H1:785H1 : 3DSMAX.EXE,Autodesk 3ds Max 2016
[2019-07-20 22:03:00.869] [genuine_logger] [info] Registering parameters for 128H1:760H1 : 3DSMAX.EXE,Autodesk 3ds Max 2016
[2019-07-20 22:03:00.869] [genuine_logger] [info] Registering parameters for 128I1 : 3DSMAX.EXE,Autodesk 3ds Max 2017
[2019-07-20 22:03:00.869] [genuine_logger] [info] Registering parameters for 128I1:661I1 : 3DSMAX.EXE,Autodesk 3ds Max 2017
[2019-07-20 22:03:00.869] [genuine_logger] [info] Registering parameters for 128I1:769I1 : 3DSMAX.EXE,Autodesk 3ds Max 2017
[2019-07-20 22:03:00.869] [genuine_logger] [info] Registering parameters for 128I1:769I1 : 3DSMAX.EXE,Autodesk 3ds Max 2017
[2019-07-20 22:03:00.869] [genuine_logger] [info] Registering parameters for 128I1:766I1 : 3DSMAX.EXE,Autodesk 3ds Max 2017
[2019-07-20 22:03:00.869] [genuine_logger] [info] Registering parameters for 128I1:781I1 : 3DSMAX.EXE,Autodesk 3ds Max 2017
[2019-07-20 22:03:00.869] [genuine_logger] [info] Registering parameters for 128I1:765I1 : 3DSMAX.EXE,Autodesk 3ds Max 2017
[2019-07-20 22:03:00.870] [genuine_logger] [info] Registering parameters for 128I1:978I1 : 3DSMAX.EXE,Autodesk 3ds Max 2017
[2019-07-20 22:03:00.870] [genuine_logger] [info] Registering parameters for 128I1:766I1 : 3DSMAX.EXE,Autodesk 3ds Max 2017
[2019-07-20 22:03:00.870] [genuine_logger] [info] Registering parameters for 128I1:781I1 : 3DSMAX.EXE,Autodesk 3ds Max 2017
[2019-07-20 22:03:00.870] [genuine_logger] [info] Registering parameters for 128I1:768I1 : 3DSMAX.EXE,Autodesk 3ds Max 2017
[2019-07-20 22:03:00.870] [genuine_logger] [info] Registering parameters for 128I1:768I1 : 3DSMAX.EXE,Autodesk 3ds Max 2017
[2019-07-20 22:03:00.870] [genuine_logger] [info] Registering parameters for 128I1:786I1 : 3DSMAX.EXE,Autodesk 3ds Max 2017
[2019-07-20 22:03:00.870] [genuine_logger] [info] Registering parameters for 128I1:793I1 : 3DSMAX.EXE,Autodesk 3ds Max 2017
[2019-07-20 22:03:00.870] [genuine_logger] [info] Registering parameters for 978I1 : 3DSMAX.EXE,Autodesk 3ds Max 2017 with SoftImage
[2019-07-20 22:03:00.870] [genuine_logger] [info] Registering parameters for 128J1 : 3DSMAX.EXE,Autodesk 3DS Max 2018
[2019-07-20 22:03:00.870] [genuine_logger] [info] Registering parameters for 128J1:978J1 : 3DSMAX.EXE,Autodesk 3ds Max 2018
[2019-07-20 22:03:00.870] [genuine_logger] [info] Registering parameters for 128J1:768J1 : 3DSMAX.EXE,Autodesk 3ds Max 2018
[2019-07-20 22:03:00.870] [genuine_logger] [info] Registering parameters for 128J1:661J1 : 3DSMAX.EXE,Autodesk 3ds Max 2018
[2019-07-20 22:03:00.870] [genuine_logger] [info] Registering parameters for 128J1:766J1 : 3DSMAX.EXE,Autodesk 3ds Max 2018
[2019-07-20 22:03:00.871] [genuine_logger] [info] Registering parameters for 128J1:785J1 : 3DSMAX.EXE,Autodesk 3ds Max 2018
[2019-07-20 22:03:00.871] [genuine_logger] [info] Registering parameters for 128J1:765J1 : 3DSMAX.EXE,Autodesk 3ds Max 2018
[2019-07-20 22:03:00.871] [genuine_logger] [info] Registering parameters for 128J1:769J1 : 3DSMAX.EXE,Autodesk 3ds Max 2018
[2019-07-20 22:03:00.871] [genuine_logger] [info] Registering parameters for 128J1:781J1 : 3DSMAX.EXE,Autodesk 3ds Max 2018
[2019-07-20 22:03:00.871] [genuine_logger] [info] Registering parameters for 128J1:786J1 : 3DSMAX.EXE,Autodesk 3ds Max 2018
[2019-07-20 22:03:00.871] [genuine_logger] [info] Registering parameters for 128J1:786J1 : 3DSMAX.EXE,Autodesk 3ds Max 2018
[2019-07-20 22:03:00.871] [genuine_logger] [info] Registering parameters for 128J1:793J1 : 3DSMAX.EXE,Autodesk 3ds Max 2018
[2019-07-20 22:03:00.871] [genuine_logger] [info] Registering parameters for 128J1:766J1 : 3DSMAX.EXE,Autodesk 3ds Max 2018
[2019-07-20 22:03:00.871] [genuine_logger] [info] Registering parameters for 128K1 : 3DSMAX.EXE,Autodesk 3ds Max 2019
[2019-07-20 22:03:00.871] [genuine_logger] [info] Registering parameters for 128K1:978K1 : 3DSMAX.EXE,Autodesk 3ds Max 2019
[2019-07-20 22:03:00.871] [genuine_logger] [info] Registering parameters for 128K1:793K1 : 3DSMAX.EXE,Autodesk 3ds Max 2019
[2019-07-20 22:03:00.871] [genuine_logger] [info] Registering parameters for 128K1:661K1 : 3DSMAX.EXE,Autodesk 3ds Max 2019
[2019-07-20 22:03:00.872] [genuine_logger] [info] Registering parameters for 128K1:766K1 : 3DSMAX.EXE,Autodesk 3ds Max 2019
[2019-07-20 22:03:00.872] [genuine_logger] [info] Registering parameters for 128K1:768K1 : 3DSMAX.EXE,Autodesk 3ds Max 2019
[2019-07-20 22:03:00.872] [genuine_logger] [info] Registering parameters for 128K1:781K1 : 3DSMAX.EXE,Autodesk 3ds Max 2019
[2019-07-20 22:03:00.872] [genuine_logger] [info] Registering parameters for 978K1 : 3DSMAX.EXE,Autodesk 3ds Max 2019 with Softimage
[2019-07-20 22:03:00.872] [genuine_logger] [info] Registering parameters for 128L1 : 3DSMAX.EXE,Autodesk 3ds Max 2020
[2019-07-20 22:03:00.872] [genuine_logger] [info] Registering parameters for 128L1:768L1 : 3DSMAX.EXE,Autodesk 3ds Max 2020
[2019-07-20 22:03:00.872] [genuine_logger] [info] Registering parameters for 128L1:765L1 : 3DSMAX.EXE,Autodesk 3ds Max 2020
[2019-07-20 22:03:00.872] [genuine_logger] [info] Registering parameters for 128L1:766L1 : 3DSMAX.EXE,Autodesk 3ds Max 2020
[2019-07-20 22:03:00.872] [genuine_logger] [info] Registering parameters for 128L1:757L1 : 3DSMAX.EXE,Autodesk 3ds Max 2020
[2019-07-20 22:03:00.872] [genuine_logger] [info] Registering parameters for 128L1:760L1 : 3DSMAX.EXE,Autodesk 3ds Max 2020
[2019-07-20 22:03:00.872] [genuine_logger] [info] Registering parameters for 128L1:786L1 : 3DSMAX.EXE,Autodesk 3ds Max 2020
[2019-07-20 22:03:00.872] [genuine_logger] [info] Registering parameters for 128L1:785L1 : 3DSMAX.EXE,Autodesk 3ds Max 2020
[2019-07-20 22:03:00.872] [genuine_logger] [info] Registering parameters for 128L1:763L1 : 3DSMAX.EXE,Autodesk 3ds Max 2020
[2019-07-20 22:03:00.873] [genuine_logger] [info] Registering parameters for 128L1:764L1 : 3DSMAX.EXE,Autodesk 3ds Max 2020
[2019-07-20 22:03:00.873] [genuine_logger] [info] Registering parameters for 978L1 : 3DSMAX.EXE,Autodesk 3ds Max 2020 with Softimage
[2019-07-20 22:03:00.873] [genuine_logger] [info] Registering parameters for 495C1 : 3DSMAX.EXE,Autodesk 3ds Max Design 2011
[2019-07-20 22:03:00.873] [genuine_logger] [info] Registering parameters for 495D1 : 3DSMAX.EXE,Autodesk 3ds Max Design 2012
[2019-07-20 22:03:00.873] [genuine_logger] [info] Registering parameters for 495D1:766D1 : 3DSMAX.EXE,Autodesk 3ds Max Design 2012
[2019-07-20 22:03:00.873] [genuine_logger] [info] Registering parameters for 495D1:765D1 : 3DSMAX.EXE,Autodesk 3ds Max Design 2012
[2019-07-20 22:03:00.873] [genuine_logger] [info] Registering parameters for 495D1:781D1 : 3DSMAX.EXE,Autodesk 3ds Max Design 2012
[2019-07-20 22:03:00.873] [genuine_logger] [info] Registering parameters for 495D1:768D1 : 3DSMAX.EXE,Autodesk 3ds Max Design 2012
[2019-07-20 22:03:00.873] [genuine_logger] [info] Registering parameters for 495E1 : 3DSMAX.EXE,Autodesk 3ds Max Design 2013
[2019-07-20 22:03:00.873] [genuine_logger] [info] Registering parameters for 495E1:769E1 : 3DSMAX.EXE,Autodesk 3ds Max Design 2013
[2019-07-20 22:03:00.873] [genuine_logger] [info] Registering parameters for 495E1:765E1 : 3DSMAX.EXE,Autodesk 3ds Max Design 2013
[2019-07-20 22:03:00.873] [genuine_logger] [info] Registering parameters for 495E1:766E1 : 3DSMAX.EXE,Autodesk 3ds Max Design 2013
[2019-07-20 22:03:00.873] [genuine_logger] [info] Registering parameters for 495E1:781E1 : 3DSMAX.EXE,Autodesk 3ds Max Design 2013
[2019-07-20 22:03:00.874] [genuine_logger] [info] Registering parameters for 495E1:760E1 : 3DSMAX.EXE,Autodesk 3ds Max Design 2013
[2019-07-20 22:03:00.874] [genuine_logger] [info] Registering parameters for 495E1:200E1 : 3DSMAX.EXE,Autodesk 3ds Max Design 2013
[2019-07-20 22:03:00.874] [genuine_logger] [info] Registering parameters for 495E1:768E1 : 3DSMAX.EXE,Autodesk 3ds Max Design 2013
[2019-07-20 22:03:00.874] [genuine_logger] [info] Registering parameters for 495E1:786E1 : 3DSMAX.EXE,Autodesk 3ds Max Design 2013
[2019-07-20 22:03:00.874] [genuine_logger] [info] Registering parameters for 495E1:782E1 : 3DSMAX.EXE,Autodesk 3ds Max Design 2013
[2019-07-20 22:03:00.874] [genuine_logger] [info] Registering parameters for 495E1:785E1 : 3DSMAX.EXE,Autodesk 3ds Max Design 2013
[2019-07-20 22:03:00.874] [genuine_logger] [info] Registering parameters for 495F1 : 3DSMAX.EXE,Autodesk 3ds Max Design 2014
[2019-07-20 22:03:00.874] [genuine_logger] [info] Registering parameters for 495F1:766F1 : 3DSMAX.EXE,Autodesk 3ds Max Design 2014
[2019-07-20 22:03:00.874] [genuine_logger] [info] Registering parameters for 495F1:765F1 : 3DSMAX.EXE,Autodesk 3ds Max Design 2014
[2019-07-20 22:03:00.874] [genuine_logger] [info] Registering parameters for 495F1:769F1 : 3DSMAX.EXE,Autodesk 3ds Max Design 2014
[2019-07-20 22:03:00.874] [genuine_logger] [info] Registering parameters for 495F1:781F1 : 3DSMAX.EXE,Autodesk 3ds Max Design 2014
[2019-07-20 22:03:00.874] [genuine_logger] [info] Registering parameters for 495F1:785F1 : 3DSMAX.EXE,Autodesk 3ds Max Design 2014
[2019-07-20 22:03:00.875] [genuine_logger] [info] Registering parameters for 495F1:200F1 : 3DSMAX.EXE,Autodesk 3ds Max Design 2014
[2019-07-20 22:03:00.875] [genuine_logger] [info] Registering parameters for 495F1:768F1 : 3DSMAX.EXE,Autodesk 3ds Max Design 2014
[2019-07-20 22:03:00.875] [genuine_logger] [info] Registering parameters for 495F1:786F1 : 3DSMAX.EXE,Autodesk 3ds Max Design 2014
[2019-07-20 22:03:00.875] [genuine_logger] [info] Registering parameters for 495F1:782F1 : 3DSMAX.EXE,Autodesk 3ds Max Design 2014
[2019-07-20 22:03:00.875] [genuine_logger] [info] Registering parameters for 495F1:764F1 : 3DSMAX.EXE,Autodesk 3ds Max Design 2014
[2019-07-20 22:03:00.875] [genuine_logger] [info] Registering parameters for 495F1 : 3DSMAX.EXE,Autodesk 3ds Max Design 2014
[2019-07-20 22:03:00.875] [genuine_logger] [info] Registering parameters for 495F1:760F1 : 3DSMAX.EXE,Autodesk 3ds Max Design 2014
[2019-07-20 22:03:00.875] [genuine_logger] [info] Registering parameters for 495F1:763F1 : 3DSMAX.EXE,Autodesk 3ds Max Design 2014
[2019-07-20 22:03:00.875] [genuine_logger] [info] Registering parameters for 495F1:768F1 : 3DSMAX.EXE,Autodesk 3ds Max Design 2014
[2019-07-20 22:03:00.875] [genuine_logger] [info] Registering parameters for 495F1 : 3DSMAX.EXE,Autodesk 3ds Max Design 2014
[2019-07-20 22:03:00.875] [genuine_logger] [info] Registering parameters for 495F1 : 3DSMAX.EXE,Autodesk 3ds Max Design 2014
[2019-07-20 22:03:00.875] [genuine_logger] [info] Registering parameters for 495F1:651F1 : 3DSMAX.EXE,Autodesk 3ds Max Design 2014
[2019-07-20 22:03:00.875] [genuine_logger] [info] Registering parameters for 495F1:654F1 : 3DSMAX.EXE,Autodesk 3ds Max Design 2014
[2019-07-20 22:03:00.876] [genuine_logger] [info] Registering parameters for 495F1:769F1 : 3DSMAX.EXE,Autodesk 3ds Max Design 2014
[2019-07-20 22:03:00.876] [genuine_logger] [info] Registering parameters for 495G1 : 3DSMAX.EXE,Autodesk 3ds Max Design 2015
[2019-07-20 22:03:00.876] [genuine_logger] [info] Registering parameters for 495G1:765G1 : 3DSMAX.EXE,Autodesk 3ds Max Design 2015
[2019-07-20 22:03:00.876] [genuine_logger] [info] Registering parameters for 495G1:766G1 : 3DSMAX.EXE,Autodesk 3ds Max Design 2015
[2019-07-20 22:03:00.876] [genuine_logger] [info] Registering parameters for 495G1:769G1 : 3DSMAX.EXE,Autodesk 3ds Max Design 2015
[2019-07-20 22:03:00.876] [genuine_logger] [info] Registering parameters for 495G1:782G1 : 3DSMAX.EXE,Autodesk 3ds Max Design 2015
[2019-07-20 22:03:00.876] [genuine_logger] [info] Registering parameters for 495G1:785G1 : 3DSMAX.EXE,Autodesk 3ds Max Design 2015
[2019-07-20 22:03:00.876] [genuine_logger] [info] Registering parameters for 495G1:651G1 : 3DSMAX.EXE,Autodesk 3ds Max Design 2015
[2019-07-20 22:03:00.876] [genuine_logger] [info] Registering parameters for 495G1:764G1 : 3DSMAX.EXE,Autodesk 3ds Max Design 2015
[2019-07-20 22:03:00.876] [genuine_logger] [info] Registering parameters for 495G1:768G1 : 3DSMAX.EXE,Autodesk 3ds Max Design 2015
[2019-07-20 22:03:00.876] [genuine_logger] [info] Registering parameters for 495G1:781G1 : 3DSMAX.EXE,Autodesk 3ds Max Design 2015
[2019-07-20 22:03:00.876] [genuine_logger] [info] Registering parameters for 774G1 : 3DSMAX.EXE,Autodesk 3ds Max Entertainment Creation Suite Premium 2015
[2019-07-20 22:03:00.877] [genuine_logger] [info] Registering parameters for 661G1 : 3DSMAX.EXE,Autodesk 3ds Max Entertainment Creation Suite Standard 2015
[2019-07-20 22:03:00.877] [genuine_logger] [info] Registering parameters for 661H1 : 3DSMAX.EXE,Autodesk 3ds Max Entertainment Creation Suite Standard 2016
[2019-07-20 22:03:00.877] [genuine_logger] [info] Registering parameters for 661I1 : 3DSMAX.EXE,Autodesk 3ds Max Entertainment Creation Suite Standard 2017
[2019-07-20 22:03:00.877] [genuine_logger] [info] Registering parameters for 978G1 : 3DSMAX.EXE,Autodesk 3ds Max with SoftImage 2015
[2019-07-20 22:03:00.877] [genuine_logger] [info] Registering parameters for 978H1 : 3DSMAX.EXE,Autodesk 3ds Max with Softimage 2016
[2019-07-20 22:03:00.877] [genuine_logger] [info] Registering parameters for 978J1 : 3DSMAX.EXE,Autodesk 3ds Max with Softimage 2018
[2019-07-20 22:03:00.877] [genuine_logger] [info] Registering parameters for 001G1 : ACAD.EXE,Autodesk AutoCAD 2015
[2019-07-20 22:03:00.877] [genuine_logger] [info] Registering parameters for 768G1 : ACAD.EXE,Autodesk AutoCAD 2015
[2019-07-20 22:03:00.877] [genuine_logger] [info] Registering parameters for 767G1 : ACAD.EXE,Autodesk AutoCAD 2015
[2019-07-20 22:03:00.877] [genuine_logger] [info] Registering parameters for 769G1 : ACAD.EXE,Autodesk AutoCAD 2015
[2019-07-20 22:03:00.877] [genuine_logger] [info] Registering parameters for 782G1 : ACAD.EXE,Autodesk AutoCAD 2015
[2019-07-20 22:03:00.877] [genuine_logger] [info] Registering parameters for 783G1 : ACAD.EXE,Autodesk AutoCAD 2015
[2019-07-20 22:03:00.877] [genuine_logger] [info] Registering parameters for 781G1 : ACAD.EXE,Autodesk AutoCAD 2015
[2019-07-20 22:03:00.878] [genuine_logger] [info] Registering parameters for 001G1:765G1 : ACAD.EXE,Autodesk AutoCAD 2015
[2019-07-20 22:03:00.878] [genuine_logger] [info] Registering parameters for 001G1:785G1 : ACAD.EXE,Autodesk AutoCAD 2015
[2019-07-20 22:03:00.878] [genuine_logger] [info] Registering parameters for 001G1:769G1 : ACAD.EXE,Autodesk AutoCAD 2015
[2019-07-20 22:03:00.878] [genuine_logger] [info] Registering parameters for 001G1:781G1 : ACAD.EXE,Autodesk AutoCAD 2015
[2019-07-20 22:03:00.878] [genuine_logger] [info] Registering parameters for 001G1:766G1 : ACAD.EXE,Autodesk AutoCAD 2015
